Symbol  ,Date,Expiry,Option type  ,Strike Price,Open  ,High  ,Low  ,Close  ,LTP,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value
NIFTY,25-Jul-23,28-Dec-23,CE,18000,2325.35,2334.6,2221.7,2284.4,2309.6,2284.4,744,7552.96,856.96,906925,-3700,19680.6
NIFTY,26-Jul-23,28-Dec-23,CE,18000,2336.65,2409.9,2336.65,2351.9,2348.85,2351.9,451,4596.12,537.12,900975,-5950,19778.3
NIFTY,27-Jul-23,28-Dec-23,CE,18000,2425.05,2444,2242.35,2275.35,2292,2275.35,541,5501.17,632.17,891175,-9800,19659.9
NIFTY,28-Jul-23,28-Dec-23,CE,18000,2275,2292.25,2181.2,2260.35,2230.15,2260.35,1068,10799.18,1187.18,888525,-2650,19646.05
NIFTY,31-Jul-23,28-Dec-23,CE,18000,2230.05,2325.05,2230,2314.6,2309,2314.6,1053,10680.23,1203.23,888425,-100,19753.8
NIFTY,01-Aug-23,28-Dec-23,CE,18000,2310,2337.6,2268.35,2276.9,2268.35,2276.9,454,4605.3,519.3,888275,-150,19733.55
NIFTY,02-Aug-23,28-Dec-23,CE,18000,2206.25,2206.25,2050,2104.75,2091,2104.75,506,5086.86,532.86,888825,550,19526.55
NIFTY,03-Aug-23,28-Dec-23,CE,18000,2061,2093.7,1940,2004.55,2004.15,2004.55,330,3298.32,328.32,888325,-500,19381.65
NIFTY,04-Aug-23,28-Dec-23,CE,18000,2047.5,2090,2000.85,2080.4,2075.8,2080.4,261,2617.03,268.03,886475,-1850,19517
NIFTY,07-Aug-23,28-Dec-23,CE,18000,2080.4,2167.6,2075.85,2139.95,2140.65,2139.95,86,865.12,91.12,885725,-750,19597.3
NIFTY,08-Aug-23,28-Dec-23,CE,18000,2136.95,2140,2088,2096,2096,2096,107,1076.27,113.27,886275,550,19570.85
NIFTY,09-Aug-23,28-Dec-23,CE,18000,2074,2174,2029,2167.85,2171.7,2167.85,119,1195.4,124.4,886875,600,19632.55
NIFTY,10-Aug-23,28-Dec-23,CE,18000,1950,2153.65,1950,2110.55,2112.7,2110.55,254,2554.11,268.11,892975,6100,19543.1
NIFTY,11-Aug-23,28-Dec-23,CE,18000,2090.35,2090.35,2024.1,2036.85,2047.25,2036.85,177,1773.88,180.88,893975,1000,19428.3
NIFTY,14-Aug-23,28-Dec-23,CE,18000,1950,2028.2,1889.45,2014.35,1995,2014.35,542,5410.97,532.97,904675,10700,19434.55
NIFTY,16-Aug-23,28-Dec-23,CE,18000,1925,2005,1920.1,1996.5,1979,1996.5,617,6157.1,604.1,894825,-9850,19465
NIFTY,17-Aug-23,28-Dec-23,CE,18000,1968.55,1980.75,1880.1,1901.65,1895.8,1901.65,280,2787.15,267.15,891775,-3050,19365.25
NIFTY,18-Aug-23,28-Dec-23,CE,18000,1830,1875,1800,1832.4,1822.55,1832.4,584,5788.76,532.76,898225,6450,19310.15
NIFTY,21-Aug-23,28-Dec-23,CE,18000,1840.05,1920.75,1810.7,1900.9,1885,1900.9,351,3489.05,330.05,901725,3500,19393.6
NIFTY,22-Aug-23,28-Dec-23,CE,18000,1879.75,1910.1,1860.2,1872.4,1871.7,1872.4,560,5567.28,527.28,907225,5500,19396.45
